LeadID,CreatedDate,LeadSource,Campaign,LandingPage,Device,Country,FirstResponseHours,FunnelStage,Qualified,Opportunity,Converted,Revenue,Priority
L-01623,2026-05-05,LinkedIn Ads,C05-LIN,Consultation,Mobile,United States,1.4,Opportunity,1,1,0,0.0,High
L-01327,2026-05-01,Email,C05-EMA,Case Studies,Mobile,United States,1.2,Opportunity,1,1,0,0.0,High
L-01391,2026-05-27,Organic Search,C05-ORG,Case Studies,Desktop,Germany,1.2,Opportunity,1,1,0,0.0,High
L-01338,2026-03-08,Paid Search,C03-PAI,Consultation,Desktop,Canada,1.1,Opportunity,1,1,0,0.0,High
L-01629,2026-05-28,Paid Search,C05-PAI,Consultation,Desktop,Canada,1.0,Opportunity,1,1,0,0.0,High
L-01028,2026-04-18,LinkedIn Ads,C04-LIN,Case Studies,Desktop,United States,0.7,Opportunity,1,1,0,0.0,High
L-01213,2026-04-17,Direct,C04-DIR,Consultation,Desktop,United States,0.6,Opportunity,1,1,0,0.0,High
L-01413,2026-04-22,Referral,C04-REF,Consultation,Mobile,Canada,0.5,Opportunity,1,1,0,0.0,High
L-00413,2026-01-29,Organic Search,C01-ORG,Case Studies,Desktop,Netherlands,77.9,New Lead,0,0,0,0.0,Watch
L-00460,2026-03-31,Paid Search,C03-PAI,Pricing,Mobile,Canada,74.9,New Lead,0,0,0,0.0,Watch
L-01587,2026-03-10,Paid Search,C03-PAI,Webinar,Desktop,United States,62.7,New Lead,0,0,0,0.0,Watch
L-01378,2026-05-12,Direct,C05-DIR,Webinar,Mobile,Australia,59.9,New Lead,0,0,0,0.0,Watch
L-00024,2026-05-07,Direct,C05-DIR,Case Studies,Mobile,Australia,43.9,New Lead,0,0,0,0.0,Watch
L-01547,2026-06-24,Direct,C06-DIR,Pricing,Tablet,United States,43.6,New Lead,0,0,0,0.0,Watch
L-01177,2026-05-17,Paid Search,C05-PAI,Case Studies,Mobile,Germany,39.7,New Lead,0,0,0,0.0,Watch
L-01077,2026-03-23,Paid Search,C03-PAI,Homepage,Mobile,Germany,36.4,New Lead,0,0,0,0.0,Watch
L-00692,2026-06-07,Organic Search,C06-ORG,Case Studies,Desktop,Australia,35.6,New Lead,0,0,0,0.0,Watch
L-00299,2026-01-21,Partner,C01-PAR,Homepage,Desktop,Netherlands,35.2,New Lead,0,0,0,0.0,Watch
L-00010,2026-01-08,Organic Search,C01-ORG,Case Studies,Desktop,Canada,34.4,Qualified,1,0,0,0.0,Watch
L-00815,2026-04-10,Paid Search,C04-PAI,Case Studies,Desktop,United States,33.1,New Lead,0,0,0,0.0,Watch
L-00447,2026-06-08,Organic Search,C06-ORG,Consultation,Desktop,United States,32.8,New Lead,0,0,0,0.0,Watch
L-01299,2026-01-02,Referral,C01-REF,Consultation,Mobile,Germany,31.5,New Lead,0,0,0,0.0,Watch
L-00097,2026-06-17,LinkedIn Ads,C06-LIN,Pricing,Desktop,Germany,31.3,New Lead,0,0,0,0.0,Watch
L-00871,2026-01-30,LinkedIn Ads,C01-LIN,Pricing,Mobile,Canada,30.9,New Lead,0,0,0,0.0,Watch
L-01418,2026-03-30,LinkedIn Ads,C03-LIN,Pricing,Desktop,United States,30.5,New Lead,0,0,0,0.0,Watch
L-01447,2026-05-02,Organic Search,C05-ORG,Consultation,Mobile,Netherlands,30.4,New Lead,0,0,0,0.0,Watch
L-00236,2026-01-06,Organic Search,C01-ORG,Consultation,Desktop,United States,29.8,New Lead,0,0,0,0.0,Watch
L-01251,2026-02-18,Direct,C02-DIR,Webinar,Mobile,Australia,29.5,Qualified,1,0,0,0.0,Watch
L-01535,2026-01-26,Direct,C01-DIR,Homepage,Desktop,United Kingdom,29.3,Qualified,1,0,0,0.0,Watch
L-00350,2026-06-12,Referral,C06-REF,Pricing,Mobile,United Kingdom,29.1,New Lead,0,0,0,0.0,Watch
L-01343,2026-02-18,Partner,C02-PAR,Webinar,Mobile,Germany,28.5,New Lead,0,0,0,0.0,Watch
L-00098,2026-04-22,Referral,C04-REF,Homepage,Desktop,Germany,27.9,New Lead,0,0,0,0.0,Watch
L-01145,2026-03-07,Referral,C03-REF,Pricing,Desktop,Australia,27.5,New Lead,0,0,0,0.0,Watch
L-01288,2026-03-23,Organic Search,C03-ORG,Consultation,Mobile,United States,27.4,New Lead,0,0,0,0.0,Watch
L-00504,2026-06-07,Paid Search,C06-PAI,Homepage,Desktop,United Kingdom,26.2,Qualified,1,0,0,0.0,Watch
L-00360,2026-03-05,Email,C03-EMA,Homepage,Mobile,Netherlands,25.5,Qualified,1,0,0,0.0,Watch
L-00091,2026-01-13,Organic Search,C01-ORG,Consultation,Desktop,United Kingdom,25.4,Qualified,1,0,0,0.0,Watch
L-00747,2026-02-28,Direct,C02-DIR,Homepage,Mobile,Netherlands,25.1,New Lead,0,0,0,0.0,Watch
L-01636,2026-05-30,Paid Search,C05-PAI,Homepage,Mobile,Netherlands,25.1,New Lead,0,0,0,0.0,Watch
L-01725,2026-03-23,Organic Search,C03-ORG,Webinar,Mobile,Canada,25.1,New Lead,0,0,0,0.0,Watch
L-01158,2026-02-14,Organic Search,C02-ORG,Case Studies,Desktop,Germany,25.0,New Lead,0,0,0,0.0,Watch
L-00833,2026-05-10,Partner,C05-PAR,Homepage,Desktop,Australia,24.9,Qualified,1,0,0,0.0,Watch
L-01049,2026-03-23,Paid Search,C03-PAI,Case Studies,Desktop,United Kingdom,24.6,Qualified,1,0,0,0.0,Watch
L-01557,2026-04-16,Partner,C04-PAR,Pricing,Mobile,Australia,24.4,Qualified,1,0,0,0.0,Watch
L-00956,2026-03-30,Email,C03-EMA,Homepage,Mobile,Germany,24.1,New Lead,0,0,0,0.0,Watch
