shipment_id,priority,hub,carrier,service_level,destination_city,late_or_overdue_hours,delay_reason,order_value
156,SEVERE LATE,Ankara Hub,SwiftLine,Standard,Mersin,28.6,Hub Congestion,240.57
3503,SEVERE LATE,Adana Hub,Mavi Cargo,Same Day,Gaziantep,28.6,Weather,210.51
1535,SEVERE LATE,Ankara Hub,SwiftLine,Standard,Mersin,28.4,Carrier Capacity,290.54
1170,SEVERE LATE,Antalya Hub,RouteOne,Same Day,Mersin,28.3,Carrier Capacity,65.04
2355,SEVERE LATE,Antalya Hub,SwiftLine,Next Day,Mersin,28.2,Hub Congestion,179.95
2480,SEVERE LATE,Izmir Hub,SwiftLine,Next Day,Mersin,28.1,Hub Congestion,235.68
630,SEVERE LATE,Izmir Hub,Anatolia Express,Standard,Antalya,28.0,Weather,277.57
2357,SEVERE LATE,Istanbul Central,RouteOne,Next Day,Bursa,28.0,Address Issue,50.66
3471,SEVERE LATE,Istanbul Central,SwiftLine,Standard,Bursa,28.0,Carrier Capacity,42.96
2536,SEVERE LATE,Adana Hub,Anatolia Express,Next Day,Adana,27.8,Hub Congestion,231.33
213,SEVERE LATE,Bursa Hub,RouteOne,Standard,Ankara,27.7,Hub Congestion,277.32
2703,SEVERE LATE,Bursa Hub,Mavi Cargo,Standard,Izmir,27.6,Hub Congestion,280.72
1401,SEVERE LATE,Ankara Hub,RouteOne,Next Day,Konya,27.5,Carrier Capacity,243.74
1630,SEVERE LATE,Antalya Hub,Anatolia Express,Next Day,Konya,27.5,Weather,227.16
3402,SEVERE LATE,Istanbul Central,Anatolia Express,Standard,Istanbul,27.5,Carrier Capacity,91.86
1467,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Konya,27.3,Weather,53.6
57,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Konya,27.2,Carrier Capacity,181.1
1900,SEVERE LATE,Ankara Hub,RouteOne,Standard,Antalya,27.2,Weather,75.44
1370,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Adana,27.1,Customer Unavailable,56.29
1636,SEVERE LATE,Izmir Hub,RouteOne,Same Day,Ankara,27.1,Address Issue,204.22
1617,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Adana,27.0,Weather,239.26
225,SEVERE LATE,Antalya Hub,Anatolia Express,Next Day,Bursa,26.9,Hub Congestion,124.98
1336,SEVERE LATE,Izmir Hub,SwiftLine,Same Day,Konya,26.8,Hub Congestion,169.81
2586,SEVERE LATE,Istanbul Central,Mavi Cargo,Standard,Antalya,26.8,Address Issue,122.66
1619,SEVERE LATE,Istanbul Central,SwiftLine,Standard,Antalya,26.7,Address Issue,200.4
2601,SEVERE LATE,Bursa Hub,RouteOne,Standard,Bursa,26.7,Carrier Capacity,143.39
2638,SEVERE LATE,Bursa Hub,RouteOne,Standard,Eskisehir,26.7,Carrier Capacity,251.38
3361,SEVERE LATE,Izmir Hub,SwiftLine,Standard,Ankara,26.7,Hub Congestion,260.23
687,SEVERE LATE,Antalya Hub,SwiftLine,Next Day,Bursa,26.6,Weather,50.85
851,SEVERE LATE,Bursa Hub,RouteOne,Next Day,Adana,26.6,Carrier Capacity,90.77
971,SEVERE LATE,Antalya Hub,Mavi Cargo,Same Day,Eskisehir,26.6,Vehicle Breakdown,48.59
1639,SEVERE LATE,Bursa Hub,Anatolia Express,Same Day,Adana,26.6,Hub Congestion,28.16
1697,SEVERE LATE,Antalya Hub,SwiftLine,Standard,Antalya,26.5,Hub Congestion,319.68
2478,SEVERE LATE,Adana Hub,Anatolia Express,Standard,Gaziantep,26.5,Hub Congestion,163.29
1936,SEVERE LATE,Istanbul Central,Mavi Cargo,Next Day,Konya,26.3,Customer Unavailable,250.69
2774,SEVERE LATE,Adana Hub,RouteOne,Next Day,Konya,26.2,Hub Congestion,308.93
41,SEVERE LATE,Bursa Hub,SwiftLine,Next Day,Izmir,26.1,Hub Congestion,37.3
3018,SEVERE LATE,Antalya Hub,Anatolia Express,Standard,Konya,26.1,Hub Congestion,213.51
12,SEVERE LATE,Adana Hub,Mavi Cargo,Standard,Adana,26.0,Carrier Capacity,191.29
1156,SEVERE LATE,Izmir Hub,RouteOne,Same Day,Gaziantep,26.0,Address Issue,66.3
2260,SEVERE LATE,Istanbul Central,RouteOne,Standard,Gaziantep,26.0,Hub Congestion,230.62
3066,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Izmir,26.0,Weather,301.88
2709,SEVERE LATE,Ankara Hub,Anatolia Express,Next Day,Antalya,25.9,Weather,40.92
2864,SEVERE LATE,Izmir Hub,Mavi Cargo,Standard,Istanbul,25.9,Hub Congestion,209.57
79,SEVERE LATE,Bursa Hub,Mavi Cargo,Next Day,Istanbul,25.5,Carrier Capacity,256.58
1539,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Ankara,25.5,Hub Congestion,104.97
2946,SEVERE LATE,Antalya Hub,Anatolia Express,Next Day,Eskisehir,25.3,Weather,293.34
1062,SEVERE LATE,Antalya Hub,Anatolia Express,Same Day,Istanbul,25.2,Hub Congestion,156.84
209,SEVERE LATE,Istanbul Central,Mavi Cargo,Same Day,Konya,25.1,Hub Congestion,247.16
1804,SEVERE LATE,Istanbul Central,RouteOne,Standard,Antalya,25.1,Hub Congestion,311.33
2298,SEVERE LATE,Bursa Hub,Mavi Cargo,Standard,Bursa,25.1,Customer Unavailable,156.36
173,SEVERE LATE,Ankara Hub,Anatolia Express,Standard,Konya,25.0,Carrier Capacity,64.15
3010,SEVERE LATE,Bursa Hub,SwiftLine,Standard,Konya,25.0,Carrier Capacity,91.4
2453,SEVERE LATE,Izmir Hub,Mavi Cargo,Next Day,Izmir,24.9,Weather,198.95
2877,SEVERE LATE,Bursa Hub,RouteOne,Standard,Istanbul,24.8,Hub Congestion,141.53
1717,SEVERE LATE,Bursa Hub,Anatolia Express,Next Day,Adana,24.6,Customer Unavailable,96.43
2481,SEVERE LATE,Istanbul Central,Mavi Cargo,Next Day,Mersin,24.6,Hub Congestion,132.72
3426,SEVERE LATE,Bursa Hub,RouteOne,Standard,Eskisehir,24.6,Weather,132.72
3476,SEVERE LATE,Adana Hub,RouteOne,Next Day,Bursa,24.6,Address Issue,261.0
70,SEVERE LATE,Ankara Hub,Mavi Cargo,Next Day,Antalya,24.5,Carrier Capacity,111.73
696,SEVERE LATE,Bursa Hub,Mavi Cargo,Standard,Adana,24.4,Weather,232.73
2896,SEVERE LATE,Izmir Hub,Mavi Cargo,Same Day,Mersin,24.4,Hub Congestion,57.36
986,SEVERE LATE,Antalya Hub,Anatolia Express,Same Day,Gaziantep,24.3,Customer Unavailable,271.78
2644,SEVERE LATE,Ankara Hub,Mavi Cargo,Next Day,Istanbul,24.3,Carrier Capacity,76.5
33,SEVERE LATE,Bursa Hub,RouteOne,Standard,Gaziantep,24.2,Vehicle Breakdown,176.19
2170,SEVERE LATE,Istanbul Central,Anatolia Express,Next Day,Mersin,24.2,Customer Unavailable,156.0
3381,SEVERE LATE,Izmir Hub,RouteOne,Standard,Eskisehir,24.1,Address Issue,31.89
